会員ID,登録エリア,性別,生まれ年,回答時の年齢,年代,都道府県,会員市町村,世帯年収,UA,回答日時,回答月,回答エリア,回答エリア2,市町村,6分類,DMO,宿泊数（全体）,宿泊数（県内）,宿泊エリア（県内）,宿泊エリア（県外）,同行者,訪問目的ALL,宿でのんびり過ごす,温泉や露天風呂,地元の美味しいものを食べる,花見や紅葉などの自然鑑賞,名所、旧跡の観光,テーマパーク（遊園地、動物園、博物館など）,買い物、アウトレット,お祭りやイベントへの参加・見物,スポーツ観戦や芸能鑑賞（コンサート等）,アウトドア（海水浴、釣り、登山など）,まちあるき、都市散策,各種体験（手作り、果物狩りなど）,スキー・スノボ、マリンスポーツ,その他スポーツ（ゴルフ、テニスなど）,ドライブ・ツーリング,友人・親戚を尋ねる,出張など仕事関係,その他,福井県までの交通手段ALL,自家用車,レンタカー,新幹線,在来線,飛行機,旅行会社ツアーバス,県外から訪れていない（福井県在住）,福井県内での交通手段ALL,タクシー,路線バス,徒歩,レンタサイクル,福井県内での交通手段の満足度,福井県内での交通手段の満足度の理由,宿泊費,交通費,県内消費額,エリア訪問回数,情報収集ALL,観光展・物産展,新聞・雑誌・ガイドブック,TV・ラジオ番組やCM,観光パンフレット・ポスター,観光連盟やDMOのHP,インターネット・アプリ,Twitter,Instagram,Facebook,ブログ,友人・知人,観光協会等の案内所,タクシードライバーや地元の人,宿泊施設,アンケート回答前に訪問した主な場所,アンケート回答前に訪問した主な場所FA,アンケート回答後に訪問する予定の主な場所,エリア総消費額,満足度(商品・サービス),満足度(商品・サービス)の理由,満足度,満足度の理由,不便さ,不便さの内容,NPS,推奨項目,施設に求めるもの,今後の来訪意向,福井県に求めるもの
200515,小浜市 阿納 エリア,女,1972,54,50代,愛知県,名古屋市千種区,"1,200万円以上 1,500万円未満",mobile/iphone,2026-05-01 22:15:48,5月,小浜市 阿納 エリア,67.小浜市 阿納 エリア,小浜市,嶺南西部,(株)まちづくり小浜,1泊,1泊,嶺南エリア（敦賀市・美浜町・若狭町・小浜市・おおい町・高浜町）,福井県外には宿泊しない,夫婦2人,"宿でのんびり過ごす
地元の美味しいものを食べる
まちあるき、都市散策
",1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,"自家用車
",0,0,0,0,とても満足,,"20,000円以上 30,000円未満","5,000円以上 10,000円未満","10,000円以上 20,000円未満",2～5回目,"Instagram
",0,0,0,0,0,0,0,1,0,0,0,0,0,0,選択なし/該当施設なし,,選択なし/該当施設なし,使わない,どちらでもない,,満足,,感じた,,10,,,また行きたい（1年以内）,
200514,福井駅前 エリア（宿泊施設）,女,1975,51,50代,秋田県,秋田市,500万円以上 600万円未満,mobile/android,2026-05-01 21:00:04,5月,福井駅前 エリア（宿泊施設）,02.福井駅前 エリア（宿泊施設）,福井市,福井市・永平寺町,,3泊,3泊,福井エリア（福井市・永平寺町）,福井県外には宿泊しない,夫婦2人,"名所、旧跡の観光
テーマパーク（遊園地、動物園、博物館など）
",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,"自家用車
",0,0,0,0,,,"10,000円以上 20,000円未満","10,000円以上 20,000円未満","40,000円以上 50,000円未満",初めて,"観光パンフレット・ポスター
",0,0,0,1,0,0,0,0,0,0,0,0,0,0,山中温泉（石川県）,,一乗谷朝倉氏遺跡,"5,000円以上 10,000円未満",どちらでもない,,満足,,感じなかった,,10,,,機会があれば行きたい,
200513,福井駅前 エリア（宿泊施設）,女,1971,55,50代,和歌山県,和歌山市,分からない/無回答,mobile/android,2026-05-01 19:59:14,5月,福井駅前 エリア（宿泊施設）,02.福井駅前 エリア（宿泊施設）,福井市,福井市・永平寺町,,3泊,1泊,福井エリア（福井市・永平寺町）,長野県,小学生以下連れの家族,"名所、旧跡の観光
",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"新幹線
",0,0,1,0,0,0,0,"徒歩
",0,0,1,0,,,"5,000円以上 10,000円未満","5,000円以上 10,000円未満","5,000円以上 10,000円未満",初めて,"インターネット・アプリ
",0,0,0,0,0,1,0,0,0,0,0,0,0,0,選択なし/該当施設なし,,大本山永平寺,使わない,どちらでもない,駅近はいいが施設が古くフロントの対応も洗練されていない。値段に見合わない地方のホテル。,どちらでもない,良いところは駅近でトリプルルームがあることだけ。,感じなかった,,7,恐竜好きには良いと思う。,秋吉で食べたかったが満席で諦めた。店舗が増えると良いと思う。,機会があれば行きたい,駅前の福福茶屋で越前そば、福井サーモン、ソースカツ丼、油揚げを食べた。全体的にお値段は高いが味は美味しく満足した。水ようかんも美味しい。飲食はもっと自信を持ってアピールしたら良いと思う。
200508,web,女,1982,44,40代,神奈川県,川崎市川崎区,300万円以上 400万円未満,mobile/iphone,2026-05-01 19:12:12,5月,福井駅前 エリア,01.福井駅前 エリア,福井市,福井市・永平寺町,,3泊,3泊,三国・あわらエリア（あわら市・坂井市）,福井県外には宿泊しない,小学生以下連れの家族,"テーマパーク（遊園地、動物園、博物館など）
",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"新幹線
",0,0,1,0,0,0,0,"徒歩
",0,0,1,0,,,"5,000円以上 10,000円未満","50,000円以上 100,000円未満","40,000円以上 50,000円未満",2～5回目,"Instagram
",0,0,0,0,0,0,0,1,0,0,0,0,0,0,選択なし/該当施設なし,,選択なし/該当施設なし,"10,000円以上 20,000円未満",とても満足,,とても満足,,感じなかった,,8,,,また行きたい（1年以内）,
200508,web,女,1982,44,40代,神奈川県,川崎市川崎区,300万円以上 400万円未満,mobile/iphone,2026-05-01 18:59:40,5月,福井駅前 エリア（宿泊施設）,02.福井駅前 エリア（宿泊施設）,福井市,福井市・永平寺町,,3泊,3泊,三国・あわらエリア（あわら市・坂井市）,福井県外には宿泊しない,小学生以下連れの家族,"宿でのんびり過ごす
温泉や露天風呂
地元の美味しいものを食べる
テーマパーク（遊園地、動物園、博物館など）
",1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"新幹線
",0,0,1,0,0,0,0,"徒歩
",0,0,1,0,,,"5,000円以上 10,000円未満","50,000円以上 100,000円未満","40,000円以上 50,000円未満",2～5回目,"インターネット・アプリ
Instagram
",0,0,0,0,0,1,0,1,0,0,0,0,0,0,選択なし/該当施設なし,,選択なし/該当施設なし,"5,000円以上 10,000円未満",とても満足,,とても満足,,感じた,100円ショップがほしい,8,,,また行きたい（1年以内）,
200510,福井駅前 エリア,女,1972,54,50代,滋賀県,近江八幡市,700万円以上 800万円未満,mobile/iphone,2026-05-01 18:51:45,5月,福井駅前 エリア,01.福井駅前 エリア,福井市,福井市・永平寺町,,1泊,1泊,福井エリア（福井市・永平寺町）,一泊なので福井市内だけです,夫婦2人,"地元の美味しいものを食べる
",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,"自家用車
",0,0,0,0,とても満足,,"5,000円以上 10,000円未満","5,000円以上 10,000円未満","10,000円以上 20,000円未満",2～5回目,"観光展・物産展
",1,0,0,0,0,0,0,0,0,0,0,0,0,0,西山動物園,,選択なし/該当施設なし,"1,000円以上 3,000円未満",満足,"くるふに行きましたが、オシャレで美味しそうなお店が多い
今回は別にお店を予約をしたので次は夕食に利用したい",満足,観光案内所の方が親切,感じた,"ハピリンからバス停の屋根がもう少し繋いでほしい
雨がかかる",10,"食べるものが美味しい
人が優しい
","そんなに恐竜に頼らなくても食べ物が美味しいのでもっと自信持っていいと思います。
油揚げ、蕎麦最高です",また行きたい（1年以内）,
200504,越前海岸 北部 エリア,男,1988,38,30代,東京都,北区,700万円以上 800万円未満,mobile/iphone,2026-05-01 18:39:45,5月,越前海岸 北部 エリア,07.越前海岸 北部 エリア,福井市,福井市・永平寺町,,2泊,2泊,越前エリア（越前市・越前町・鯖江市・池田町・南越前町）,福井県外には宿泊しない,小学生以下連れの家族,"地元の美味しいものを食べる
テーマパーク（遊園地、動物園、博物館など）
",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"新幹線
",0,1,1,0,0,0,0,"レンタカー
",0,0,0,0,満足,新幹線は快適で、レンタカーはスムーズに借りられたうえにきれいだったので不満がありませんでした。,"30,000円以上 40,000円未満","10,000円以上 20,000円未満","10,000円以上 20,000円未満",初めて,"インターネット・アプリ
",0,0,0,0,0,1,0,0,0,0,0,0,0,0,選択なし/該当施設なし,,越前松島水族館,"30,000円以上 40,000円未満",とても満足,子供連れにも関わらずとてもご丁寧かつ親切に対応してくださいました。,とても満足,上と同じ理由です。,感じた,遊歩道がなく、散策しづらい印象がありました。,10,料理のおいしさとおもてなしのよさ、程よい人の少なさがおすすめしたいです。,,機会があれば行きたい,
200506,web,男,1997,29,20代,東京都,立川市,"900万円以上 1,000万円未満",mobile/iphone,2026-05-01 18:38:06,5月,小浜市まちの駅 エリア,72.小浜市まちの駅 エリア,小浜市,嶺南西部,(株)まちづくり小浜,3泊,2泊,嶺南エリア（敦賀市・美浜町・若狭町・小浜市・おおい町・高浜町）,石川県金沢市,夫婦2人,"友人・親戚を尋ねる
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"新幹線
",0,1,1,0,0,0,0,"レンタカー
",0,0,0,0,とても満足,,"50,000円以上 100,000円未満","100,000円以上","50,000円以上 100,000円未満",2～5回目,"インターネット・アプリ
",0,0,0,0,0,1,0,0,0,0,0,0,0,0,道の駅「三方五湖」,,小浜市水産食品センター（若狭小浜お魚センター）,"20,000円以上 30,000円未満",満足,,満足,,感じなかった,,9,,,機会があれば行きたい,
200505,小浜市まちの駅 エリア,女,1985,41,40代,東京都,立川市,800万円以上 900万円未満,mobile/iphone,2026-05-01 18:32:01,5月,小浜市まちの駅 エリア,72.小浜市まちの駅 エリア,小浜市,嶺南西部,(株)まちづくり小浜,3泊,2泊,嶺南エリア（敦賀市・美浜町・若狭町・小浜市・おおい町・高浜町）,石川県金沢市,夫婦2人,"温泉や露天風呂
地元の美味しいものを食べる
名所、旧跡の観光
まちあるき、都市散策
ドライブ・ツーリング
",0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,"レンタカー
新幹線
",0,1,1,0,0,0,0,"レンタカー
",0,0,0,0,とても満足,東京と違って道が広いし、お土産を沢山買うので。,"30,000円以上 40,000円未満","50,000円以上 100,000円未満","40,000円以上 50,000円未満",初めて,"インターネット・アプリ
Instagram
",0,0,0,0,0,1,0,1,0,0,0,0,0,0,熊川宿,,道の駅「若狭熊川宿」,"10,000円以上 20,000円未満",とても満足,せくみやの近くで漁港で買ったお魚を七輪で焼ける場所があり、そこで食べた赤エビと銀ダラが美味しすぎました。,とても満足,旅館もあるし観光資源もたくさんあって美味しいものがリーズナブルに食べられる所,感じなかった,,10,,,また行きたい（1年以内）,
200502,web,女,1963,63,60代,大阪府,松原市,400万円以上 500万円未満,mobile/iphone,2026-05-01 18:22:05,5月,越前海岸 北部 エリア,07.越前海岸 北部 エリア,福井市,福井市・永平寺町,,2泊,1泊,越前エリア（越前市・越前町・鯖江市・池田町・南越前町）,石川県金沢市,夫婦2人,"宿でのんびり過ごす
地元の美味しいものを食べる
",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,"自家用車
",0,0,0,0,,,"30,000円以上 40,000円未満","20,000円以上 30,000円未満","10,000円以上 20,000円未満",11回目以上,"インターネット・アプリ
",0,0,0,0,0,1,0,0,0,0,0,0,0,0,一乗谷朝倉氏遺跡,まだ決めていません,選択なし/該当施設なし,"5,000円以上 10,000円未満",満足,ゆっくり出来ます。,満足,食べものが美味しいです。,感じなかった,,8,"食べものが美味しい。観光できる
",,また行きたい（1年以内）,
